Movie,Date,Rating,Studio,,Studio Chart,,
Madame Web,2/14/2024,4,,,,,
Dune: Part Two,2/29/2024,9,,,,,
Snack Shack,3/20/2024,3,,,,,
"Matrix, The (1999)",3/20/2024,10,,,,,
Ghostbusters: Frozen Empire,3/21/2024,6,,,,,
Godzilla x Kong: The New Empire,3/28/2024,5,,,,,
Civil War,4/11/2024,6,,,,,
Arcadian,4/17/2024,3,,,,,
Spider-Man,4/17/2024,7,,,,,
Dune: Part Two,4/17/2024,9,,,,,
Villains Inc,4/19/2024,4,,,,,
Deep Sky,4/20/2024,5,,,,,
"Ministry of Ungentlemanly Warfare, The",4/20/2024,6,,,,,
Spider-Man 2,4/20/2024,8,,,,,
Challengers,4/29/2024,4,,,,,
Spider-Man 3,4/29/2024,6,,,,,
"Fall Guy, The",5/2/2024,7,,,,,
Kingdom of the Planet of the Apes,5/9/2024,6,,,,,
The Amazing Spider-Man,5/9/2024,6,,,,,
IF,5/16/2024,4,,,,,
The Amazing Spider-Man 2,5/16/2024,6,,,,,
Spider-Man: Homecoming,5/21/2024,9,,,,,
Furiosa: A Mad Max Saga,5/23/2024,6,,,,,
Babes,5/29/2024,4,,,,,
"Garfield Movie, The",5/29/2024,4,,,,,
The Blue Angels,5/29/2024,5,,,,,
Spider-Man: Far From Home,5/29/2024,9,,,,,
Spider-Man: No Way Home,6/3/2024,9,,,,,
Bad Boys: Ride or Die,6/6/2024,5,,,,,
Inside Out 2,6/13/2024,7,,,,,
A Quiet Place: Day One,6/27/2024,4,,,,,
Twisters,7/18/2024,8,,,,,
Deadpool and Wolverine,7/25/2024,10,,,,,
Longlegs,7/31/2024,4,,,,,
Despicable Me 4,7/31/2024,7,,,,,
Deadpool and Wolverine,7/31/2024,10,,,,,
Borderlands,8/8/2024,6,,,,,
Beetlejuice Beetlejuice,9/5/2024,8,,,,,
Joker: Folie a Deux,10/4/2024,3,,,,,
Venom: The Last Dance,10/24/2024,5,,,,,
Red One,11/10/2024,7,,,,,
Dragon Ball DAIMA Eps. 1-3,11/10/2024,7,,,,,
Y2K,12/6/2024,5,,,,,
Kraven the Hunter,12/12/2024,5,,,,,
Sonic The Hedgehog 3,12/19/2024,7,,,,,
Flight Risk,1/23/2025,5,,,,,
Companion,1/30/2025,7,,,,,
Love Hurts,2/6/2025,6,,,,,
Captain America: Brave New World,2/13/2025,7,,,,,
Captain America: Brave New World,2/27/2025,7,,,,,
Last Breath,2/27/2025,7,,,,,
In the Lost Lands,3/6/2025,5,,,,,
Mickey 17,3/6/2025,7,,,,,
Novacaine,3/13/2025,8,,,,,
Black Bag,3/17/2025,5,,,,,
Snow White,3/20/2025,4,,,,,
Death of a Unicorn,3/27/2025,6,,,,,
"Working Man, A",3/27/2025,6,,,,,
"Minecraft Movie, A",4/3/2025,8,,,,,
"Minecraft Movie, A",4/8/2025,8,,,,,
Warfare,4/10/2025,6,,,,,
"Amateur, The",4/10/2025,6,,,,,
"Minecraft Movie, A",4/10/2025,8,,,,,
Until Dawn,4/24/2025,5,,,,,
"Accountant 2, The",4/24/2025,7,,,,,
Thunderbolts*,5/1/2025,8,,,,,
Watch the Skies,5/7/2025,5,,,,,
Thunderbolts*,5/7/2025,8,,,,,
Shadow Force,5/8/2025,6,,,,,
Fight or Flight,5/8/2025,7,,,,,
Final Destination: Bloodlines,5/15/2025,7,,,,,
Mission: Impossible – The Final Reckoning,5/22/2025,8,,,,,
Lilo and Stitch,5/22/2025,8,,,,,
Karate Kid: Legends,5/29/2025,4,,,,,
Friendship,5/29/2025,5,,,,,
Ballerina,6/5/2025,7,,,,,
Dogma: Ressurrected,6/5/2025,8,,,,,
How to Train Your Dragon,6/12/2025,9,,,,,
Materialist,6/12/2025,5,,,,,
Elio,6/19/2025,4,,,,,
How to Train Your Dragon,6/19/2025,9,,,,,
28 Years Later,6/19/2025,4,,,,,
Bride Hard,6/19/2025,5,,,,,
Jurassic World Rebirth,7/2/2025,5,,,,,
Superman,7/10/2025,8,2,,,,
"Oh, Hi!",7/24/2025,6,,,,,
The Fantasic Four: First Steps,7/24/2025,8,1,,,,
Superman,7/27/2025,8,2,,,,
Eddington,7/27/2025,4,,,,,
The Fantasic Four: First Steps,7/27/2025,8,1,,,,
Total,257,6.7,,,,,
